epoch,data,loss,accuracy
1,train,0.6716602563858032,0.5638138055801392
1,test,0.6932437047362328,0.5170000195503235
2,train,0.6667116980552673,0.5613113045692444
2,test,0.6647330168634653,0.5450000166893005
3,train,0.6717559804916382,0.553553581237793
3,test,0.6846839170902967,0.5180000066757202
4,train,0.6770038890838623,0.5500500798225403
4,test,0.6693568676710129,0.6309999823570251
5,train,0.6867120351791381,0.5310310125350952
5,test,0.6826341673731804,0.5640000104904175
6,train,0.6884777383804321,0.5270270109176636
6,test,0.6911109648644924,0.5040000081062317
7,train,0.6909967255592346,0.522022008895874
7,test,0.689358914270997,0.5109999775886536
8,train,0.6898269734382629,0.5305305123329163
8,test,0.7053800709545612,0.5170000195503235
9,train,0.6922815537452698,0.5112612843513489
9,test,0.6897589340806007,0.5329999923706055
10,train,0.693181031703949,0.5147647857666016
10,test,0.6930902097374201,0.5170000195503235
11,train,0.6944877352714539,0.5175175070762634
11,test,0.6963106486946344,0.5170000195503235
12,train,0.6922835826873779,0.5162662863731384
12,test,0.6919130869209766,0.5170000195503235
13,train,0.6925465531349182,0.5215215086936951
13,test,0.691763561218977,0.5180000066757202
14,train,0.6925876870155334,0.5055055022239685
14,test,0.6918599903583527,0.5289999842643738
15,train,0.692936237335205,0.5117617845535278
15,test,0.6918682083487511,0.5170000195503235
16,train,0.693208203792572,0.511511504650116
16,test,0.6924040000885725,0.5120000243186951
17,train,0.6926186819076539,0.5082582831382751
17,test,0.6927459742873907,0.5120000243186951
18,train,0.6924214501380921,0.521271288394928
18,test,0.6925197057425976,0.5550000071525574
19,train,0.6930358347892761,0.5150150060653687
19,test,0.692308047786355,0.5180000066757202
20,train,0.6936207127571106,0.5122622847557068
20,test,0.6926194559782743,0.5170000195503235
21,train,0.6930931882858277,0.5125125050544739
21,test,0.692473066970706,0.5170000195503235
22,train,0.6932268199920655,0.5120120048522949
22,test,0.6924718953669071,0.5170000195503235
23,train,0.6926107473373413,0.5165165066719055
23,test,0.6930113136768341,0.5170000195503235
24,train,0.6930189275741577,0.5162662863731384
24,test,0.6928024999797344,0.5170000195503235
25,train,0.6927408480644226,0.5112612843513489
25,test,0.6927141658961773,0.5170000195503235
26,train,0.6925396676063538,0.5165165066719055
