epoch,data,loss,accuracy
26,test,0.692551214247942,0.5170000195503235
27,train,0.6931405639648438,0.5090090036392212
27,test,0.692851647734642,0.5170000195503235
28,train,0.6927795314788818,0.5177677869796753
28,test,0.6925766970962286,0.5170000195503235
29,train,0.6926808762550354,0.5195195078849792
29,test,0.6929143276065588,0.5389999747276306
30,train,0.692582444190979,0.5160160064697266
30,test,0.6935563907027245,0.4830000102519989
31,train,0.6929196767807007,0.5127627849578857
31,test,0.6925900373607874,0.5170000195503235
32,train,0.6927525563240051,0.5172672867774963
32,test,0.6925923377275467,0.5170000195503235
33,train,0.69249254322052,0.5202702879905701
33,test,0.6925650537014008,0.5170000195503235
34,train,0.6931144142150879,0.5112612843513489
34,test,0.6927943602204323,0.5170000195503235
35,train,0.6927089667320252,0.5167667865753174
35,test,0.693522309884429,0.4830000102519989
36,train,0.6929042916297913,0.5092592835426331
36,test,0.6926604248583317,0.5170000195503235
37,train,0.6930168137550354,0.5122622847557068
37,test,0.6930150892585516,0.5170000195503235
38,train,0.6926381459236145,0.5182682871818542
38,test,0.6926577780395746,0.5170000195503235
39,train,0.6926417779922486,0.5182682871818542
39,test,0.692651616409421,0.5170000195503235
40,train,0.6927267308235169,0.5187687873840332
40,test,0.6926529407501221,0.5170000195503235
41,train,0.6928361811637879,0.5125125050544739
41,test,0.6926482021808624,0.5170000195503235
42,train,0.6925851359367371,0.520770788192749
42,test,0.6926436815410852,0.5170000195503235
43,train,0.6926086468696594,0.5200200080871582
43,test,0.6929552629590034,0.5170000195503235
44,train,0.6927521104812622,0.520770788192749
44,test,0.6926670968532562,0.5170000195503235
45,train,0.6930333909988403,0.5085085034370422
45,test,0.692519698292017,0.5170000195503235
46,train,0.6929279646873474,0.5175175070762634
46,test,0.6924890298396349,0.5170000195503235
47,train,0.6927969703674316,0.5137637853622437
47,test,0.6923575941473246,0.5170000195503235
48,train,0.6928742065429687,0.5167667865753174
48,test,0.6928344406187534,0.5170000195503235
49,train,0.6927538051605224,0.5200200080871582
49,test,0.6929059904068708,0.5170000195503235
50,train,0.6926653990745545,0.5180180072784424
50,test,0.6927130222320557,0.5170000195503235
51,train,0.6926917939186096,0.5195195078849792
51,test,0.6927521154284477,0.5170000195503235
52,train,0.6926452450752258,0.5172672867774963
52,test,0.6927049364894629,0.5170000195503235
53,train,0.6928617300987243,0.5180180072784424
53,test,0.692588921636343,0.5170000195503235
54,train,0.692343813419342,0.5172672867774963
54,test,0.6923966594040394,0.5170000195503235
55,train,0.6928864388465882,0.510260283946991
55,test,0.6925792284309864,0.5170000195503235
56,train,0.692853150844574,0.5165165066719055
56,test,0.6925865858793259,0.5170000195503235
57,train,0.6928536810874939,0.5177677869796753
57,test,0.6925687864422798,0.5170000195503235
58,train,0.6922965440750122,0.5170170068740845
58,test,0.6931086126714945,0.5170000195503235
59,train,0.6924426021575928,0.5155155062675476
59,test,0.6920156981796026,0.5170000195503235
60,train,0.6912546944618225,0.5247747898101807
60,test,0.6919388733804226,0.5189999938011169
61,train,0.6931497716903686,0.5092592835426331
61,test,0.6922597661614418,0.5170000195503235
62,train,0.692105685710907,0.5205205082893372
62,test,0.6917136721313,0.5170000195503235
63,train,0.6909831218719482,0.5190190076828003
63,test,0.6879140213131905,0.5170000195503235
64,train,0.6869009919166565,0.5307807922363281
64,test,0.6808168105781078,0.546999990940094
65,train,0.6922258763313294,0.5205205082893372
65,test,0.6883758213371038,0.5170000195503235
66,train,0.685620418548584,0.5205205082893372
66,test,0.6806233543902636,0.5379999876022339
67,train,0.6634146447181701,0.5813313126564026
67,test,0.6340409610420465,0.6050000190734863
68,train,0.662209020614624,0.5743243098258972
68,test,0.7044093646109104,0.5410000085830688
69,train,0.653360116481781,0.5850850939750671
69,test,0.6634342335164547,0.5600000023841858
70,train,0.6381467266082763,0.6008508801460266
70,test,0.6217300407588482,0.6159999966621399
71,train,0.6484514269828796,0.5788288116455078
71,test,0.6242187265306711,0.628000020980835
72,train,0.6242128772735596,0.619369387626648
72,test,0.6286374144256115,0.6029999852180481
73,train,0.6299127178192139,0.6151151061058044
73,test,0.6208420041948557,0.6320000290870667
74,train,0.6229727737903595,0.6176176071166992
74,test,0.6145719634369016,0.6169999837875366
75,train,0.6143761208057403,0.6291291117668152
75,test,0.6302560027688742,0.5960000157356262
76,train,0.6171125025749207,0.6233733892440796
76,test,0.6134275961667299,0.6200000047683716
77,train,0.6133663158416748,0.6386386156082153
77,test,0.6325465459376574,0.5460000038146973
78,train,0.6106199781894683,0.6276276111602783
78,test,0.6080256020650268,0.6259999871253967
79,train,0.5996558332443237,0.6468968987464905
79,test,0.5981352254748344,0.6549999713897705
80,train,0.5973700122833252,0.6461461186408997
80,test,0.59849654417485,0.6330000162124634
81,train,0.604991662979126,0.6441441178321838
81,test,0.604954969137907,0.6570000052452087
82,train,0.6011660959720612,0.6416416168212891
82,test,0.6129098804667592,0.6110000014305115
83,train,0.5958103606700897,0.6504004001617432
83,test,0.6099491864442825,0.6240000128746033
84,train,0.5996474480628967,0.6493993997573853
84,test,0.5940903816372156,0.6370000243186951
85,train,0.5985127882957458,0.6559059023857117
85,test,0.6208851831033826,0.5789999961853027
86,train,0.5884159781932831,0.6601601839065552
86,test,0.612080305814743,0.6259999871253967
87,train,0.5876941013336182,0.6546546816825867
87,test,0.6189508009701967,0.5989999771118164
88,train,0.584988440990448,0.6554054021835327
88,test,0.5905935727059841,0.6470000147819519
89,train,0.5806076369285583,0.672672688961029
89,test,0.5869872253388166,0.6769999861717224
90,train,0.5858362882137299,0.6666666865348816
90,test,0.5905976183712482,0.6700000166893005
91,train,0.5709633152484894,0.6761761903762817
91,test,0.5864971689879894,0.6539999842643738
92,train,0.5710600428581237,0.6774274110794067
92,test,0.5835559256374836,0.6700000166893005
93,train,0.5671064195632934,0.6819319128990173
93,test,0.6105754226446152,0.6200000047683716
94,train,0.5792832658290863,0.6614114046096802
94,test,0.6221007341518998,0.6240000128746033
95,train,0.5616907336711884,0.6836836934089661
95,test,0.6084271539002657,0.6359999775886536
96,train,0.5528059377670288,0.6954454183578491
96,test,0.5799957485869527,0.6470000147819519
97,train,0.5570744972229004,0.6881881952285767
97,test,0.7245495244860649,0.5830000042915344
98,train,0.5667349240779876,0.6796796917915344
98,test,0.6022477736696601,0.6299999952316284
99,train,0.544109991312027,0.706706702709198
99,test,0.5808026846498251,0.6639999747276306
100,train,0.5385681512355804,0.7017017006874084
100,test,0.5821536304429173,0.703000009059906
101,train,0.5324636199474335,0.7119619846343994
101,test,0.6718153581023216,0.6079999804496765
102,train,0.5315629551410676,0.7199699878692627
102,test,0.5714288922026753,0.6819999814033508
103,train,0.5227033734321594,0.7167167067527771
103,test,0.5757281007245183,0.6990000009536743
104,train,0.5237857825756073,0.7104604840278625
104,test,0.5845258580520749,0.6869999766349792
105,train,0.5255324249267578,0.7147147059440613
105,test,0.5824714964255691,0.6819999814033508
106,train,0.5449986877441406,0.7029529809951782
106,test,0.5837287213653326,0.6790000200271606
107,train,0.5238523898124695,0.7232232093811035
107,test,0.5889047300443053,0.6700000166893005
108,train,0.5250334479808807,0.7114614844322205
108,test,0.5695012081414461,0.7110000252723694
109,train,0.5056142263412475,0.7217217087745667
109,test,0.6126418253406882,0.6520000100135803
110,train,0.503317024230957,0.7302302122116089
110,test,0.5989174321293831,0.6840000152587891
111,train,0.5045985877513885,0.7297297120094299
111,test,0.5951825501397252,0.6570000052452087
112,train,0.4987961046695709,0.7317317128181458
112,test,0.5937918685376644,0.703000009059906
113,train,0.4993673450946808,0.7374874949455261
113,test,0.5879794638603926,0.7070000171661377
114,train,0.5131173849105835,0.7219719886779785
114,test,0.5869267368689179,0.7020000219345093
115,train,0.5090709583759307,0.7214714884757996
115,test,0.5922852568328381,0.7070000171661377
116,train,0.504571525812149,0.7294794917106628
116,test,0.671146453358233,0.6349999904632568
117,train,0.5073201243877411,0.7259759902954102
117,test,0.5912483846768737,0.6660000085830688
118,train,0.5025077464580536,0.7312312126159668
118,test,0.597114123404026,0.6880000233650208
119,train,0.49453449058532717,0.7414914965629578
119,test,0.6140981167554855,0.7120000123977661
120,train,0.5009134943485261,0.738488495349884
120,test,0.6002044258639216,0.6949999928474426
121,train,0.502179046869278,0.7359859943389893
121,test,0.5812999131157994,0.7110000252723694
122,train,0.5011335043907166,0.7327327132225037
122,test,0.5941126141697168,0.6959999799728394
123,train,0.48627904391288757,0.7517517805099487
123,test,0.6200307086110115,0.6930000185966492
124,train,0.4874503948688507,0.7467467188835144
124,test,0.5907799648120999,0.6869999766349792
125,train,0.49372058296203614,0.7417417168617249
125,test,0.5885788323357701,0.6809999942779541
126,train,0.48569238471984866,0.7472472190856934
126,test,0.6170103847980499,0.6710000038146973
127,train,0.47372778606414795,0.7600100040435791
127,test,0.5648351302370429,0.6930000185966492
128,train,0.4763136863708496,0.7497497200965881
128,test,0.6093829534947872,0.6980000138282776
129,train,0.49146018719673157,0.7377377152442932
129,test,0.5452224770560861,0.7269999980926514
130,train,0.47493109011650086,0.7537537813186646
130,test,0.5571715869009495,0.7210000157356262
131,train,0.46715446972846986,0.7575075030326843
131,test,0.5685958797112107,0.7350000143051147
132,train,0.46596402513980867,0.7575075030326843
132,test,0.5981494011357427,0.7110000252723694
133,train,0.4876495624780655,0.7489989995956421
133,test,0.5978325270116329,0.6620000004768372
134,train,0.4780409817695618,0.7535035014152527
134,test,0.5642224187031388,0.7160000205039978
135,train,0.4694673388004303,0.7635135054588318
135,test,0.5953891323879361,0.6909999847412109
136,train,0.45910208201408387,0.7677677869796753
136,test,0.5876406906172633,0.7440000176429749
137,train,0.4615258674621582,0.7690190076828003
137,test,0.586283054202795,0.6959999799728394
138,train,0.47412086868286135,0.7520020008087158
138,test,0.5654339697211981,0.7020000219345093
139,train,0.4563641700744629,0.7642642855644226
139,test,0.630518052726984,0.7070000171661377
140,train,0.4590699269771576,0.7640140056610107
140,test,0.5533762890845537,0.7390000224113464
