index,train_loss
0,4.72294282913208
1,5.9466447830200195
2,5.182246208190918
3,5.133834362030029
4,5.0189738273620605
5,4.929632186889648
6,4.874944686889648
7,5.007602691650391
8,4.960668563842773
9,5.067054748535156
10,4.957542896270752
11,4.86248779296875
12,4.80426549911499
13,4.869678497314453
14,4.673381805419922
15,4.793949604034424
16,4.803762435913086
17,4.738018035888672
18,4.738700866699219
19,4.7454023361206055
20,4.815975666046143
21,4.705996990203857
22,4.736664772033691
23,4.76912784576416
24,4.751786231994629
25,4.697812080383301
26,4.703338623046875
27,4.676090240478516
28,4.743711471557617
29,4.665362358093262
30,4.836627006530762
31,4.611907958984375
32,4.8112897872924805
33,4.8908491134643555
34,4.768755912780762
35,4.782556533813477
36,4.549930572509766
37,4.726373672485352
38,4.771553039550781
39,4.697319030761719
40,4.698551654815674
41,4.728457450866699
42,4.558459758758545
43,4.72926139831543
44,4.690976142883301
45,4.7120466232299805
46,4.624693870544434
47,4.642194747924805
48,4.70565938949585
49,4.684654235839844
50,4.76115608215332
51,4.733013153076172
52,4.756605625152588
53,4.573436737060547
54,4.612521648406982
55,4.6817121505737305
56,4.735963821411133
57,4.6372833251953125
58,4.802884101867676
59,4.759973049163818
60,4.573943614959717
61,4.691457271575928
62,4.734283924102783
63,4.652266502380371
64,4.729425430297852
65,4.631019592285156
66,4.598283767700195
67,4.690413475036621
68,4.670244216918945
69,4.72840690612793
70,4.718221664428711
71,4.482338905334473
72,4.67001485824585
73,4.636379241943359
74,4.643731594085693
75,4.63890266418457
76,4.604814529418945
77,4.586889266967773
78,4.558771133422852
79,4.570712089538574
80,4.537177085876465
81,4.521428108215332
82,4.571106433868408
83,4.5353899002075195
84,4.601955890655518
85,4.619622230529785
86,4.580894947052002
87,4.623722076416016
88,4.530313014984131
89,4.535921096801758
90,4.590025901794434
91,4.532242298126221
92,4.526186943054199
93,4.503530502319336
94,4.5435614585876465
95,4.487401962280273
96,4.550453186035156
97,4.510885715484619
98,4.475564002990723
99,4.564448356628418
100,4.531340599060059
101,4.5070085525512695
102,4.574578285217285
103,4.525444984436035
104,4.459781169891357
105,4.513383865356445
106,4.607506275177002
107,4.625247001647949
108,4.594287872314453
109,4.598328590393066
110,4.4384260177612305
111,4.654578685760498
112,4.715656757354736
113,4.552650451660156
114,4.5350799560546875
115,4.68084716796875
116,4.565933704376221
117,4.479553699493408
118,4.516644477844238
119,4.55109167098999
120,4.399647235870361
121,4.498121738433838
122,4.57253360748291
123,4.570017337799072
124,4.48781681060791
125,4.506761074066162
126,4.400434494018555
127,4.488241195678711
128,4.479161262512207
129,4.581589698791504
130,4.574295520782471
131,4.497095108032227
132,4.4153618812561035
133,4.493496894836426
134,4.506266117095947
135,4.467127323150635
136,4.609781265258789
137,4.560678005218506
138,4.550165176391602
139,4.484598636627197
140,4.578038692474365
141,4.50833797454834
142,4.5367021560668945
143,4.615264892578125
144,4.516959190368652
145,4.626657485961914
146,4.4506001472473145
147,4.434772491455078
148,4.559277057647705
149,4.614623546600342
150,4.516188144683838
151,4.579522132873535
152,4.509841442108154
153,4.521846771240234
154,4.560431480407715
155,4.49352502822876
156,4.337540626525879
157,4.4863200187683105
158,4.525193214416504
159,4.525605201721191
160,4.54880428314209
161,4.4647369384765625
162,4.51047945022583
163,4.486719131469727
164,4.563693046569824
165,4.412334442138672
166,4.495443820953369
167,4.487905025482178
